column,slice,size,precision,recall,fbeta
workclass,Self-emp-not-inc,525,0.743801652892562,0.6040268456375839,0.6666666666666666
workclass,Private,4517,0.7883472057074911,0.6368876080691642,0.7045696068012752
workclass,Local-gov,407,0.7931034482758621,0.6666666666666666,0.7244094488188977
workclass,Federal-gov,190,0.7215189873417721,0.8028169014084507,0.76
workclass,Self-emp-inc,225,0.7801418439716312,0.8270676691729323,0.8029197080291971
workclass,?,399,0.7727272727272727,0.425,0.5483870967741935
workclass,State-gov,243,0.7384615384615385,0.7384615384615385,0.7384615384615385
workclass,Never-worked,2,1.0,1.0,1.0
workclass,Without-pay,5,1.0,1.0,1.0
education,Prof-school,117,0.8958333333333334,0.945054945054945,0.9197860962566845
education,Some-college,1428,0.7242990654205608,0.5535714285714286,0.6275303643724697
education,Bachelors,1063,0.7606490872210954,0.8389261744966443,0.797872340425532
education,HS-grad,2067,0.7592592592592593,0.3504273504273504,0.47953216374269003
education,11th,231,1.0,0.2857142857142857,0.4444444444444445
education,7th-8th,131,1.0,0.0,0.0
education,Assoc-voc,303,0.6842105263157895,0.52,0.5909090909090909
education,Assoc-acdm,221,0.7959183673469388,0.6290322580645161,0.7027027027027026
education,10th,192,1.0,0.3125,0.47619047619047616
education,Doctorate,106,0.8478260869565217,0.9512195121951219,0.8965517241379309
education,Masters,362,0.8095238095238095,0.85,0.8292682926829269
education,12th,91,1.0,0.2222222222222222,0.3636363636363636
education,9th,90,1.0,0.0,0.0
education,1st-4th,33,1.0,0.0,0.0
education,5th-6th,68,1.0,0.5,0.6666666666666666
education,Preschool,10,1.0,1.0,1.0
marital-status,Married-civ-spouse,3042,0.7668517049960349,0.6917024320457796,0.7273411056788266
marital-status,Never-married,2079,0.8541666666666666,0.43617021276595747,0.5774647887323944
marital-status,Divorced,921,0.8928571428571429,0.49019607843137253,0.6329113924050633
marital-status,Widowed,196,0.8571428571428571,0.3,0.4444444444444444
marital-status,Separated,202,1.0,0.5882352941176471,0.7407407407407407
marital-status,Married-spouse-absent,69,1.0,0.6,0.7499999999999999
marital-status,Married-AF-spouse,4,1.0,0.0,0.0
occupation,Prof-specialty,861,0.7899761336515513,0.8295739348370927,0.8092909535452323
occupation,Adm-clerical,717,0.7532467532467533,0.5321100917431193,0.6236559139784947
occupation,Exec-managerial,806,0.7926829268292683,0.8104738154613467,0.8014796547472257
occupation,Handlers-cleaners,302,0.8333333333333334,0.2631578947368421,0.39999999999999997
occupation,Sales,738,0.7301587301587301,0.696969696969697,0.7131782945736433
occupation,Craft-repair,793,0.7978723404255319,0.390625,0.5244755244755245
occupation,Machine-op-inspct,367,0.875,0.42,0.5675675675675675
occupation,Tech-support,189,0.7301587301587301,0.7419354838709677,0.736
occupation,Transport-moving,318,0.6538461538461539,0.288135593220339,0.4
occupation,Other-service,650,0.8571428571428571,0.17142857142857143,0.2857142857142857
occupation,?,401,0.7727272727272727,0.425,0.5483870967741935
occupation,Farming-fishing,207,0.75,0.23076923076923078,0.3529411764705882
occupation,Protective-serv,132,0.8,0.6808510638297872,0.7356321839080461
occupation,Priv-house-serv,30,1.0,1.0,1.0
occupation,Armed-Forces,2,1.0,1.0,1.0
relationship,Husband,2672,0.7666068222621185,0.6965742251223491,0.72991452991453
relationship,Not-in-family,1694,0.8888888888888888,0.4756756756756757,0.6197183098591549
relationship,Own-child,967,0.8,0.4444444444444444,0.5714285714285714
relationship,Unmarried,668,0.9,0.375,0.5294117647058825
relationship,Other-relative,193,0.42857142857142855,1.0,0.6
relationship,Wife,319,0.7857142857142857,0.6626506024096386,0.7189542483660131
race,White,5496,0.7780448717948718,0.6623465211459755,0.7155490051584377
