column,slice,size,precision,recall,fbeta
workclass,?,390,0.42857142857142855,0.34615384615384615,0.3829787234042554
workclass,Private,4522,0.7736572890025576,0.6160896130346232,0.6859410430839002
workclass,Local-gov,402,0.7647058823529411,0.7338709677419355,0.7489711934156378
workclass,Self-emp-not-inc,491,0.7904761904761904,0.5220125786163522,0.6287878787878788
workclass,Self-emp-inc,219,0.7421875,0.8407079646017699,0.7883817427385892
workclass,Federal-gov,209,0.775,0.7560975609756098,0.7654320987654322
workclass,State-gov,274,0.7058823529411765,0.7619047619047619,0.7328244274809159
workclass,Without-pay,4,1.0,1.0,1.0
workclass,Never-worked,2,1.0,1.0,1.0
education,9th,86,1.0,0.0,0.0
education,Assoc-voc,293,0.6885245901639344,0.5753424657534246,0.626865671641791
education,11th,256,1.0,0.5454545454545454,0.7058823529411764
education,Bachelors,1052,0.7697228144989339,0.8204545454545454,0.7942794279427943
education,HS-grad,2108,0.7468354430379747,0.34911242603550297,0.47580645161290325
education,Some-college,1396,0.6902173913043478,0.49416342412451364,0.5759637188208617
education,Prof-school,115,0.8602150537634409,0.9523809523809523,0.903954802259887
education,Masters,365,0.7549019607843137,0.8235294117647058,0.7877237851662403
education,10th,218,1.0,0.2,0.33333333333333337
education,Doctorate,91,0.84,0.9264705882352942,0.881118881118881
education,7th-8th,130,1.0,0.3333333333333333,0.5
education,1st-4th,34,1.0,0.5,0.6666666666666666
education,Assoc-acdm,211,0.7727272727272727,0.6415094339622641,0.7010309278350515
education,5th-6th,69,0.0,0.0,0.0
education,Preschool,8,1.0,1.0,1.0
education,12th,81,1.0,0.25,0.4
marital-status,Never-married,2214,0.9056603773584906,0.4897959183673469,0.6357615894039735
marital-status,Married-civ-spouse,2940,0.7529411764705882,0.6829268292682927,0.7162270183852918
marital-status,Separated,194,0.8,0.26666666666666666,0.4
marital-status,Divorced,883,0.8333333333333334,0.36082474226804123,0.5035971223021583
marital-status,Widowed,194,0.8571428571428571,0.35294117647058826,0.5
marital-status,Married-spouse-absent,83,0.6666666666666666,0.4444444444444444,0.5333333333333333
marital-status,Married-AF-spouse,5,1.0,0.0,0.0
occupation,?,392,0.42857142857142855,0.34615384615384615,0.3829787234042554
occupation,Craft-repair,796,0.7912087912087912,0.375,0.5088339222614842
occupation,Sales,736,0.823943661971831,0.5792079207920792,0.6802325581395348
occupation,Exec-managerial,796,0.7538860103626943,0.8128491620111732,0.7822580645161289
occupation,Prof-specialty,851,0.7828162291169452,0.8541666666666666,0.8169364881693649
occupation,Handlers-cleaners,276,1.0,0.16666666666666666,0.2857142857142857
occupation,Adm-clerical,756,0.7105263157894737,0.54,0.6136363636363636
occupation,Transport-moving,349,0.5675675675675675,0.3387096774193548,0.42424242424242425
occupation,Protective-serv,135,0.85,0.6415094339622641,0.7311827956989247
occupation,Farming-fishing,176,0.75,0.3333333333333333,0.46153846153846156
occupation,Machine-op-inspct,387,0.7333333333333333,0.23404255319148937,0.3548387096774194
occupation,Other-service,650,0.9,0.2571428571428571,0.39999999999999997
occupation,Tech-support,176,0.6909090909090909,0.7037037037037037,0.6972477064220184
occupation,Priv-house-serv,35,1.0,1.0,1.0
occupation,Armed-Forces,2,1.0,1.0,1.0
relationship,Not-in-family,1718,0.8586956521739131,0.43169398907103823,0.5745454545454546
relationship,Husband,2594,0.7590476190476191,0.6858864027538726,0.7206148282097649
relationship,Own-child,1031,1.0,0.38461538461538464,0.5555555555555556
relationship,Unmarried,665,0.7857142857142857,0.2682926829268293,0.39999999999999997
relationship,Wife,302,0.7101449275362319,0.6853146853146853,0.697508896797153
relationship,Other-relative,203,0.75,0.42857142857142855,0.5454545454545454
race,White,5605,0.765,0.6515259048970902,0.7037178995783825
race,Black,616,0.8163265306122449,0.4819277108433735,0.6060606060606061
race,Other,47,0.3333333333333333,0.3333333333333333,0.3333333333333333
race,Asian-Pac-Islander,192,0.673469387755102,0.673469387755102,0.673469387755102
race,Amer-Indian-Eskimo,53,0.5,0.2,0.28571428571428575
sex,Female,2218,0.7443181818181818,0.5622317596566524,0.6405867970660147
sex,Male,4295,0.7648624667258208,0.6550151975683891,0.7056897257470324
native-country,United-States,5842,0.7663865546218488,0.6413502109704642,0.6983154670750383
native-country,Mexico,139,1.0,0.2222222222222222,0.3636363636363636
native-country,Greece,9,1.0,1.0,1.0
native-country,El-Salvador,17,1.0,1.0,1.0
